City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
61,Katangli,RU,2020-11-07 18:32:00,51.71,143.23,22.95,88,0,6.78,clear sky
62,Saint-Malo,FR,2020-11-07 18:32:01,48.5,-1.83,59.0,77,90,6.93,overcast clouds
63,Samana,DO,2020-11-07 18:32:01,19.21,-69.34,87.8,70,40,6.93,scattered clouds
64,College,US,2020-11-07 18:32:01,64.86,-147.8,27.0,85,90,4.7,overcast clouds
65,Nouadhibou,MR,2020-11-07 18:31:16,20.93,-17.03,77.0,61,0,11.41,clear sky
66,Carlisle,US,2020-11-07 18:29:30,40.2,-77.19,73.99,39,0,3.2,clear sky
67,Qui Nhon,VN,2020-11-07 18:32:02,13.77,109.23,74.32,84,8,14.09,clear sky
68,Hithadhoo,MV,2020-11-07 18:32:02,-0.6,73.08,83.3,73,86,8.16,light rain
69,Bluff,NZ,2020-11-07 18:32:02,-46.6,168.33,46.99,74,6,10.0,clear sky
70,Olafsvik,IS,2020-11-07 18:32:02,64.89,-23.71,41.09,69,85,28.95,light rain
71,Saldanha,ZA,2020-11-07 18:31:38,-33.01,17.94,64.4,72,0,14.99,light rain
72,Taoudenni,ML,2020-11-07 18:32:03,22.68,-3.98,86.38,14,99,6.87,overcast clouds
73,Itarema,BR,2020-11-07 18:32:03,-2.92,-39.92,84.29,63,99,19.01,overcast clouds
74,Ponta Pora,BR,2020-11-07 18:32:03,-22.54,-55.73,95.0,24,0,2.24,clear sky
75,San Vicente,AR,2020-11-07 18:32:03,-26.62,-54.13,91.83,19,0,4.59,clear sky
76,Pisco,PE,2020-11-07 18:32:03,-13.7,-76.22,64.99,82,90,8.05,overcast clouds
77,Bethel,US,2020-11-07 18:32:03,41.37,-73.41,73.99,35,1,8.05,clear sky
78,Baruun-Urt,MN,2020-11-07 18:32:04,46.68,113.28,15.48,84,0,7.56,clear sky
79,Qaanaaq,GL,2020-11-07 18:32:04,77.48,-69.36,-12.64,71,0,6.4,clear sky
80,Cherskiy,RU,2020-11-07 18:31:01,68.75,161.3,5.95,95,100,6.4,overcast clouds
81,Shanhetun,CN,2020-11-07 18:32:04,44.7,127.2,25.65,87,0,12.57,clear sky
82,Villeta,CO,2020-11-07 18:28:24,5.01,-74.47,62.6,67,75,18.34,shower rain
83,Yangambi,CD,2020-11-07 18:32:04,0.81,24.43,71.19,93,14,1.34,few clouds
84,Abu Dhabi,AE,2020-11-07 18:27:42,24.47,54.37,82.4,69,0,4.7,clear sky
85,Behbahan,IR,2020-11-07 18:32:05,30.6,50.24,77.0,53,0,6.93,clear sky
86,Fare,PF,2020-11-07 18:32:05,-16.7,-151.02,79.74,75,38,10.74,scattered clouds
87,Mahanje,TZ,2020-11-07 18:32:05,-9.93,35.33,70.34,55,0,4.56,clear sky
88,Cabedelo,BR,2020-11-07 18:28:33,-6.98,-34.83,84.2,70,40,18.34,scattered clouds
89,Tasiilaq,GL,2020-11-07 18:32:05,65.61,-37.64,28.4,92,90,4.7,light snow
90,Kongolo,CD,2020-11-07 18:32:05,-5.38,27.0,71.37,94,14,2.68,few clouds
91,Naryan-Mar,RU,2020-11-07 18:32:05,67.67,53.09,30.04,99,100,5.26,overcast clouds
92,Evensk,RU,2020-11-07 18:32:06,61.95,159.23,12.25,89,90,9.73,overcast clouds
93,Ascension,US,2020-11-07 18:32:07,30.22,-90.9,75.2,73,75,10.29,broken clouds
94,Viedma,AR,2020-11-07 18:27:15,-40.81,-63.0,75.99,36,43,3.0,scattered clouds
95,Esso,RU,2020-11-07 18:32:07,55.93,158.7,9.91,87,46,3.27,scattered clouds
96,Victoria,HK,2020-11-07 18:32:07,22.29,114.16,78.01,50,0,5.01,clear sky
97,Tuktoyaktuk,CA,2020-11-07 18:32:08,69.45,-133.04,26.6,79,75,21.92,light snow
98,Port Lincoln,AU,2020-11-07 18:31:29,-34.73,135.87,59.02,76,0,16.58,clear sky
99,Saskylakh,RU,2020-11-07 18:32:00,71.92,114.08,-9.02,89,5,6.71,clear sky
100,Saint-Pierre,RE,2020-11-07 18:32:08,-21.34,55.48,73.4,78,75,17.22,broken clouds
101,Rocha,UY,2020-11-07 18:32:08,-34.48,-54.33,70.68,68,37,10.6,light rain
102,Tura,IN,2020-11-07 18:32:08,25.52,90.22,65.16,86,0,4.38,clear sky
103,Chokurdakh,RU,2020-11-07 18:32:08,70.63,147.92,2.53,95,100,6.46,overcast clouds
104,Broome,US,2020-11-07 18:31:39,42.25,-75.83,69.01,45,1,5.82,clear sky
105,Ribeira Grande,PT,2020-11-07 18:32:09,38.52,-28.7,60.8,77,40,11.41,scattered clouds
106,Puerto Baquerizo Moreno,EC,2020-11-07 18:32:09,-0.9,-89.6,75.2,64,20,12.75,few clouds
107,Carberry,CA,2020-11-07 18:32:09,49.87,-99.36,26.6,92,90,17.22,overcast clouds
108,Mar Del Plata,AR,2020-11-07 18:31:05,-38.0,-57.56,64.4,88,40,10.09,scattered clouds
109,Atuona,PF,2020-11-07 18:32:09,-9.8,-139.03,77.61,73,88,15.93,overcast clouds
110,Belaya Kholunitsa,RU,2020-11-07 18:32:10,58.84,50.85,32.88,94,84,7.18,broken clouds
111,Yellowknife,CA,2020-11-07 18:30:06,62.46,-114.35,12.0,85,75,4.7,light snow
112,General Roca,AR,2020-11-07 18:32:10,-39.03,-67.58,84.2,28,0,18.34,clear sky
113,Khatanga,RU,2020-11-07 18:32:10,71.97,102.5,-4.85,88,9,11.79,clear sky
114,Busselton,AU,2020-11-07 18:31:21,-33.65,115.33,55.0,66,54,3.27,broken clouds
115,Provideniya,RU,2020-11-07 18:31:13,64.38,-173.3,29.23,94,10,9.75,clear sky
116,Muros,ES,2020-11-07 18:32:11,42.78,-9.06,61.0,89,28,8.01,light rain
117,Vila Velha,BR,2020-11-07 18:31:57,-20.33,-40.29,78.8,78,20,10.29,few clouds
118,San Patricio,US,2020-11-07 18:31:34,28.02,-97.52,82.0,61,40,12.75,scattered clouds
119,Vao,NC,2020-11-07 18:32:11,-22.67,167.48,73.42,76,62,10.98,broken clouds
120,Cidreira,BR,2020-11-07 18:28:23,-30.18,-50.21,71.06,72,7,16.06,clear sky
121,Conakry,GN,2020-11-07 18:32:11,9.54,-13.68,86.0,79,20,9.17,few clouds
122,Upernavik,GL,2020-11-07 18:31:42,72.79,-56.15,-1.93,76,0,8.43,clear sky
123,Sola,VU,2020-11-07 18:32:12,-13.88,167.55,82.4,83,90,5.82,overcast clouds
124,Vaini,TO,2020-11-07 18:30:59,-21.2,-175.2,71.6,88,20,5.82,few clouds
125,Sept-Iles,CA,2020-11-07 18:31:42,50.2,-66.38,34.0,59,70,10.29,broken clouds
126,Ilulissat,GL,2020-11-07 18:32:12,69.22,-51.1,12.2,66,40,3.2,shower rain
127,Aljezur,PT,2020-11-07 18:29:50,37.32,-8.8,62.31,83,7,8.37,light rain
128,Arroyos Y Esteros,PY,2020-11-07 18:32:12,-25.07,-57.1,100.4,17,0,8.05,clear sky
129,Yulara,AU,2020-11-07 18:32:12,-25.24,130.99,75.2,14,97,8.05,overcast clouds
130,Bengkulu,ID,2020-11-07 18:32:13,-3.8,102.27,76.66,87,100,4.79,overcast clouds
